"","Project Name","Address","No. of Units","Area (sqm)","Type of Area","Transacted Price ($)","Nett Price($)","Unit Price ($ psm)","Unit Price ($ psf)","Sale Date","Property Type","Tenure","Completion Date","Type of Sale","Purchaser Address Indicator","Postal District","Postal Sector","Postal Code","Planning Region","Planning Area","country","city"
"3643","THE TRE VER","66 Potong Pasir Avenue 1  #10-30",1,102,"Strata",1722000,"-",16882,1568,"01-JUN-2020","Condominium","99 Yrs From 27/03/2018","Uncompleted","New Sale","HDB","13","35","358394","Central Region","Toa Payoh","Singapore","Singapore"
"3644","THE TAPESTRY","55 Tampines Street 86  #09-22",1,86,"Strata",1248860,"-",14522,1349,"01-JUN-2020","Condominium","99 Yrs From 31/07/2017","Uncompleted","New Sale","N.A","18","52","528541","East Region","Tampines","Singapore","Singapore"
"3645","MARTIN MODERN","10 Martin Place  #19-14",1,71,"Strata",2085000,"1986200",27975,2599,"01-JUN-2020","Condominium","99 Yrs From 28/09/2016","Uncompleted","New Sale","Private","09","23","237963","Central Region","River Valley","Singapore","Singapore"
"3646","WATERVIEW","85 Tampines Avenue 1  #03-25",1,86,"Strata",930000,"-",10814,1005,"01-JUN-2020","Condominium","99 Yrs From 16/06/2010","2014","Resale","HDB","18","52","528687","East Region","Tampines","Singapore","Singapore"
"3647","AMBER PARK","18 Amber Gardens  #19-11",1,103,"Strata",2869020,"-",27855,2588,"01-JUN-2020","Condominium","Freehold","Uncompleted","New Sale","N.A","15","43","439980","Central Region","Marine Parade","Singapore","Singapore"
"3648","ROYALGREEN","6 Anamalai Avenue  #01-38",1,67,"Strata",1948000,"-",29075,2701,"01-JUN-2020","Condominium","Freehold","Uncompleted","New Sale","Private","10","27","279994","Central Region","Bukit Timah","Singapore","Singapore"
"3649","CASHEW HEIGHTS CONDOMINIUM","89 Cashew Road  #02-03",1,154,"Strata",1890000,"-",12273,1140,"01-JUN-2020","Condominium","999 Yrs From 25/09/1882","1990","Resale","HDB","23","67","679660","West Region","Bukit Panjang","Singapore","Singapore"
"3650","DAINTREE RESIDENCE","11L Toh Tuck Road  #01-61",1,104,"Strata",1900000,"-",18269,1697,"01-JUN-2020","Condominium","99 Yrs From 17/07/2017","Uncompleted","New Sale","N.A","21","59","596133","Central Region","Bukit Timah","Singapore","Singapore"
"3651","BLOSSOM RESIDENCES","32 Segar Road  #12-21",1,98,"Strata",920000,"-",9388,872,"01-JUN-2020","Executive Condominium","99 Yrs From 02/03/2011","2014","Resale","HDB","23","67","677722","West Region","Bukit Panjang","Singapore","Singapore"
"3652","JADESCAPE","10 Shunfu Road  #09-40",1,195,"Strata",3440000,"-",17641,1639,"01-JUN-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575746","Central Region","Bishan","Singapore","Singapore"
"3653","DAINTREE RESIDENCE","11K Toh Tuck Road  #04-51",1,52,"Strata",1009050,"-",19405,1803,"01-JUN-2020","Condominium","99 Yrs From 17/07/2017","Uncompleted","New Sale","HDB","21","59","596132","Central Region","Bukit Timah","Singapore","Singapore"
"3654","TREASURE AT TAMPINES","37 Tampines Lane  #02-119",1,96,"Strata",1294000,"-",13479,1252,"01-JUN-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528467","East Region","Tampines","Singapore","Singapore"
"3655","THE TAPESTRY","55 Tampines Street 86  #14-25",1,86,"Strata",1266840,"-",14731,1369,"01-JUN-2020","Condominium","99 Yrs From 31/07/2017","Uncompleted","New Sale","N.A","18","52","528541","East Region","Tampines","Singapore","Singapore"
"3656","TREASURE AT TAMPINES","51 Tampines Lane  #03-178",1,85,"Strata",1137000,"-",13376,1243,"31-MAY-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528460","East Region","Tampines","Singapore","Singapore"
"3657","TREASURE AT TAMPINES","11 Tampines Lane  #11-42",1,63,"Strata",940000,"-",14921,1386,"31-MAY-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","Private","18","52","528480","East Region","Tampines","Singapore","Singapore"
"3658","PIERMONT GRAND","24 Sumang Walk  #07-06",1,127,"Strata",1542240,"-",12144,1128,"31-MAY-2020","Executive Condominium","99 Yrs From 04/06/2018","Uncompleted","New Sale","Private","19","82","828678","North East Region","Punggol","Singapore","Singapore"
"3659","JADESCAPE","4 Shunfu Road  #13-10",1,71,"Strata",1310000,"-",18451,1714,"31-MAY-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575743","Central Region","Bishan","Singapore","Singapore"
"3660","TREASURE AT TAMPINES","27 Tampines Lane  #06-97",1,96,"Strata",1394000,"-",14521,1349,"31-MAY-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528472","East Region","Tampines","Singapore","Singapore"
"3661","JADESCAPE","8 Shunfu Road  #09-30",1,71,"Strata",1303700,"-",18362,1706,"31-MAY-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575745","Central Region","Bishan","Singapore","Singapore"
"3662","JADESCAPE","2 Shunfu Road  #16-06",1,49,"Strata",938800,"-",19159,1780,"31-MAY-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575742","Central Region","Bishan","Singapore","Singapore"
"3663","TREASURE AT TAMPINES","9 Tampines Lane  #05-35",1,85,"Strata",1196000,"-",14071,1307,"31-MAY-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528481","East Region","Tampines","Singapore","Singapore"
"3664","PARC CANBERRA","19 Canberra Walk  #09-37",1,76,"Strata",938000,"-",12342,1147,"31-MAY-2020","Executive Condominium","99 Yrs From 10/12/2018","Uncompleted","New Sale","HDB","27","75","756950","North Region","Sembawang","Singapore","Singapore"
"3665","URBAN TREASURES","205 Jalan Eunos  #06-08",1,48,"Strata",1007000,"960200",20004,1858,"31-MAY-2020","Condominium","Freehold","Uncompleted","New Sale","N.A","14","41","419535","East Region","Bedok","Singapore","Singapore"
"3666","PIERMONT GRAND","40 Sumang Walk  #17-40",1,92,"Strata",1079600,"-",11735,1090,"30-MAY-2020","Executive Condominium","99 Yrs From 04/06/2018","Uncompleted","New Sale","N.A","19","82","828625","North East Region","Punggol","Singapore","Singapore"
"3667","QUEENS PEAK","1 Dundee Road  #39-08",1,93,"Strata",1840000,"-",19785,1838,"30-MAY-2020","Condominium","99 Yrs From 28/09/2015","2020","New Sale","Private","03","14","149456","Central Region","Queenstown","Singapore","Singapore"
"3668","JADESCAPE","16 Shunfu Road  #08-57",1,49,"Strata",912800,"-",18629,1731,"30-MAY-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575749","Central Region","Bishan","Singapore","Singapore"
"3669","JADESCAPE","2 Shunfu Road  #03-01",1,71,"Strata",1280000,"-",18028,1675,"30-MAY-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575742","Central Region","Bishan","Singapore","Singapore"
"3670","PIERMONT GRAND","46 Sumang Walk  #09-53",1,78,"Strata",1008700,"-",12932,1201,"30-MAY-2020","Executive Condominium","99 Yrs From 04/06/2018","Uncompleted","New Sale","Private","19","82","828628","North East Region","Punggol","Singapore","Singapore"
"3671","TREASURE AT TAMPINES","3 Tampines Lane  #02-09",1,63,"Strata",946000,"-",15016,1395,"30-MAY-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528483","East Region","Tampines","Singapore","Singapore"
"3672","THE TAPESTRY","59 Tampines Street 86  #02-30",1,56,"Strata",844600,"-",15082,1401,"30-MAY-2020","Condominium","99 Yrs From 31/07/2017","Uncompleted","New Sale","Private","18","52","528509","East Region","Tampines","Singapore","Singapore"
"3673","THE TAPESTRY","59 Tampines Street 86  #09-36",1,92,"Strata",1275920,"-",13869,1288,"30-MAY-2020","Condominium","99 Yrs From 31/07/2017","Uncompleted","New Sale","N.A","18","52","528509","East Region","Tampines","Singapore","Singapore"
"3674","JADESCAPE","12 Shunfu Road  #05-42",1,117,"Strata",2085000,"-",17821,1656,"30-MAY-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","Private","20","57","575747","Central Region","Bishan","Singapore","Singapore"
"3675","TREASURE AT TAMPINES","55 Tampines Lane  #02-189",1,63,"Strata",946000,"-",15016,1395,"30-MAY-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528458","East Region","Tampines","Singapore","Singapore"
"3676","TREASURE AT TAMPINES","37 Tampines Lane  #12-121",1,63,"Strata",935000,"-",14841,1379,"30-MAY-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528467","East Region","Tampines","Singapore","Singapore"
"3677","WATERBANK AT DAKOTA","82 Dakota Crescent  #16-23",1,109,"Strata",1800000,"-",16514,1534,"29-MAY-2020","Condominium","99 Yrs From 07/12/2009","2013","Resale","Private","14","39","399947","Central Region","Geylang","Singapore","Singapore"
"3678","PIERMONT GRAND","42 Sumang Walk  #17-43",1,109,"Strata",1126710,"-",10337,960,"29-MAY-2020","Executive Condominium","99 Yrs From 04/06/2018","Uncompleted","New Sale","HDB","19","82","828626","North East Region","Punggol","Singapore","Singapore"
"3679","PARK COLONIAL","4 Woodleigh Lane  #12-10",1,91,"Strata",1708000,"-",18769,1744,"29-MAY-2020","Condominium","99 Yrs From 11/10/2017","Uncompleted","New Sale","N.A","13","35","357686","Central Region","Toa Payoh","Singapore","Singapore"
"3680","JADESCAPE","2 Shunfu Road  #07-04",1,49,"Strata",898000,"-",18327,1703,"29-MAY-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","Private","20","57","575742","Central Region","Bishan","Singapore","Singapore"
"3681","SYMPHONY HEIGHTS","33 Hume Avenue  #04-02",1,119,"Strata",1310000,"-",11008,1023,"29-MAY-2020","Condominium","Freehold","1998","Resale","Private","21","59","598734","West Region","Bukit Batok","Singapore","Singapore"
"3682","THE TAPESTRY","59 Tampines Street 86  #15-30",1,69,"Strata",947100,"-",13726,1275,"29-MAY-2020","Condominium","99 Yrs From 31/07/2017","Uncompleted","New Sale","Private","18","52","528509","East Region","Tampines","Singapore","Singapore"
"3683","THE SUMMIT","459 Upper East Coast Road  #01-02",1,140,"Strata",1580000,"-",11286,1048,"29-MAY-2020","Condominium","Freehold","1992","Resale","Private","16","46","466504","East Region","Bedok","Singapore","Singapore"
"3684","JADESCAPE","6 Shunfu Road  #22-22",1,71,"Strata",1367000,"-",19254,1789,"29-MAY-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575744","Central Region","Bishan","Singapore","Singapore"
"3685","THE GARDENS AT BISHAN","7 Sin Ming Walk  #04-10",1,112,"Strata",1343000,"-",11991,1114,"29-MAY-2020","Condominium","99 Yrs From 22/03/1997","2004","Resale","HDB","20","57","575577","Central Region","Bishan","Singapore","Singapore"
"3686","DAINTREE RESIDENCE","11C Toh Tuck Road  #04-13",1,69,"Strata",1212700,"-",17575,1633,"29-MAY-2020","Condominium","99 Yrs From 17/07/2017","Uncompleted","New Sale","HDB","21","59","596159","Central Region","Bukit Timah","Singapore","Singapore"
"3687","MARTIN MODERN","10 Martin Place  #17-14",1,71,"Strata",2070000,"1971200",27763,2579,"28-MAY-2020","Condominium","99 Yrs From 28/09/2016","Uncompleted","New Sale","HDB","09","23","237963","Central Region","River Valley","Singapore","Singapore"
"3688","BISHAN LOFT","31 Bishan Street 11  #05-03",1,109,"Strata",1370000,"-",12569,1168,"28-MAY-2020","Executive Condominium","99 Yrs From 13/12/2000","2003","Resale","HDB","20","57","579819","Central Region","Bishan","Singapore","Singapore"
"3689","ARC AT TAMPINES","3 Tampines Avenue 8  #10-01",1,120,"Strata",1200000,"-",10000,929,"28-MAY-2020","Executive Condominium","99 Yrs From 22/02/2011","2014","Resale","HDB","18","52","529595","East Region","Tampines","Singapore","Singapore"
"3690","TREASURE AT TAMPINES","49 Tampines Lane  #03-170",1,96,"Strata",1309000,"-",13635,1267,"28-MAY-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528461","East Region","Tampines","Singapore","Singapore"
"3691","TREASURE AT TAMPINES","11 Tampines Lane  #05-47",1,82,"Strata",1141000,"-",13915,1293,"28-MAY-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528480","East Region","Tampines","Singapore","Singapore"
"3692","PIERMONT GRAND","46 Sumang Walk  #17-52",1,95,"Strata",1098000,"-",11558,1074,"28-MAY-2020","Executive Condominium","99 Yrs From 04/06/2018","Uncompleted","New Sale","N.A","19","82","828628","North East Region","Punggol","Singapore","Singapore"
"3693","PARC CANBERRA","1 Canberra Walk  #11-04",1,86,"Strata",1055000,"-",12267,1140,"28-MAY-2020","Executive Condominium","99 Yrs From 10/12/2018","Uncompleted","New Sale","N.A","27","75","757063","North Region","Sembawang","Singapore","Singapore"
"3694","PIERMONT GRAND","34 Sumang Walk  #14-28",1,78,"Strata",957420,"-",12275,1140,"28-MAY-2020","Executive Condominium","99 Yrs From 04/06/2018","Uncompleted","New Sale","HDB","19","82","828622","North East Region","Punggol","Singapore","Singapore"
"3695","JADESCAPE","4 Shunfu Road  #20-11",1,98,"Strata",1856200,"-",18941,1760,"28-MAY-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575743","Central Region","Bishan","Singapore","Singapore"
"3696","THE PARC CONDOMINIUM","7 West Coast Walk  #08-13",1,62,"Strata",886000,"-",14290,1328,"28-MAY-2020","Condominium","Freehold","2010","Resale","HDB","05","12","127159","West Region","Clementi","Singapore","Singapore"
"3697","TREASURE AT TAMPINES","43 Tampines Lane  #07-144",1,55,"Strata",866000,"-",15745,1463,"28-MAY-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","Private","18","52","528464","East Region","Tampines","Singapore","Singapore"
"3698","KANDIS RESIDENCE","8 Kandis Link  #07-15",1,74,"Strata",1045800,"-",14132,1313,"27-MAY-2020","Condominium","99 Yrs From 11/07/2016","Uncompleted","New Sale","HDB","27","75","756970","North Region","Sembawang","Singapore","Singapore"
"3699","THE TAPESTRY","55 Tampines Street 86  #07-22",1,86,"Strata",1237380,"-",14388,1337,"27-MAY-2020","Condominium","99 Yrs From 31/07/2017","Uncompleted","New Sale","N.A","18","52","528541","East Region","Tampines","Singapore","Singapore"
"3700","WESTWOOD RESIDENCES","188 Westwood Avenue  #14-20",1,96,"Strata",920000,"-",9583,890,"27-MAY-2020","Executive Condominium","99 Yrs From 14/04/2014","2017","Resale","HDB","22","64","648149","West Region","Jurong West","Singapore","Singapore"
"3701","THE JOVELL","15 Flora Drive  #07-16",1,59,"Strata",834000,"-",14136,1313,"27-MAY-2020","Condominium","99 Yrs From 08/03/2018","Uncompleted","New Sale","HDB","17","50","506854","East Region","Pasir Ris","Singapore","Singapore"
"3702","THE TAPESTRY","55 Tampines Street 86  #13-25",1,86,"Strata",1256310,"-",14608,1357,"27-MAY-2020","Condominium","99 Yrs From 31/07/2017","Uncompleted","New Sale","N.A","18","52","528541","East Region","Tampines","Singapore","Singapore"
"3703","MARTIN MODERN","10 Martin Place  #26-10",1,71,"Strata",2159300,"2148500",30261,2811,"27-MAY-2020","Condominium","99 Yrs From 28/09/2016","Uncompleted","New Sale","Private","09","23","237963","Central Region","River Valley","Singapore","Singapore"
"3704","TREASURE AT TAMPINES","49 Tampines Lane  #03-164",1,63,"Strata",952000,"-",15111,1404,"27-MAY-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528461","East Region","Tampines","Singapore","Singapore"
"3705","TREASURE AT TAMPINES","55 Tampines Lane  #08-190",1,78,"Strata",1163000,"-",14910,1385,"27-MAY-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528458","East Region","Tampines","Singapore","Singapore"
"3706","BOTANIQUE AT BARTLEY","227 Upper Paya Lebar Road  #16-14",1,68,"Strata",1090000,"-",16029,1489,"27-MAY-2020","Condominium","99 Yrs From 14/04/2014","2019","Sub Sale","Private","19","53","533872","North East Region","Serangoon","Singapore","Singapore"
"3707","NV RESIDENCES","93 Pasir Ris Grove  #05-34",1,135,"Strata",1200000,"-",8889,826,"27-MAY-2020","Condominium","99 Yrs From 07/01/2008","2013","Resale","Private","18","51","518191","East Region","Pasir Ris","Singapore","Singapore"
"3708","PARC OLYMPIA","64 Flora Drive  #02-56",1,74,"Strata",738000,"-",9973,927,"27-MAY-2020","Condominium","99 Yrs From 25/01/2012","2015","Resale","Private","17","50","506860","East Region","Pasir Ris","Singapore","Singapore"
"3709","THE TAPESTRY","59 Tampines Street 86  #12-36",1,92,"Strata",1293140,"-",14056,1306,"27-MAY-2020","Condominium","99 Yrs From 31/07/2017","Uncompleted","New Sale","N.A","18","52","528509","East Region","Tampines","Singapore","Singapore"
"3710","TREASURE AT TAMPINES","3 Tampines Lane  #07-09",1,63,"Strata",971000,"-",15413,1432,"26-MAY-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","Private","18","52","528483","East Region","Tampines","Singapore","Singapore"
"3711","TREASURE AT TAMPINES","43 Tampines Lane  #03-144",1,55,"Strata",846000,"-",15382,1429,"26-MAY-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528464","East Region","Tampines","Singapore","Singapore"
"3712","PARC RIVIERA","101 West Coast Vale  #25-05",1,84,"Strata",1258000,"-",14976,1391,"26-MAY-2020","Condominium","99 Yrs From 11/11/2015","2019","Sub Sale","HDB","05","12","126753","West Region","Clementi","Singapore","Singapore"
"3713","JADESCAPE","8 Shunfu Road  #11-30",1,71,"Strata",1310000,"-",18451,1714,"26-MAY-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575745","Central Region","Bishan","Singapore","Singapore"
"3714","8 @ MOUNT SOPHIA","10 Mount Sophia  #09-26",1,232,"Strata",2620000,"-",11293,1049,"26-MAY-2020","Condominium","103 Yrs From 28/11/2002","2007","Resale","Private","09","22","228459","Central Region","Rochor","Singapore","Singapore"
"3715","THE TAPESTRY","61 Tampines Street 86  #13-44",1,41,"Strata",686340,"-",16740,1555,"26-MAY-2020","Condominium","99 Yrs From 31/07/2017","Uncompleted","New Sale","HDB","18","52","528510","East Region","Tampines","Singapore","Singapore"
"3716","THE TAPESTRY","61 Tampines Street 86  #11-46",1,41,"Strata",686340,"-",16740,1555,"26-MAY-2020","Condominium","99 Yrs From 31/07/2017","Uncompleted","New Sale","HDB","18","52","528510","East Region","Tampines","Singapore","Singapore"
"3717","DAINTREE RESIDENCE","11C Toh Tuck Road  #05-13",1,69,"Strata",1276190,"-",18496,1718,"26-MAY-2020","Condominium","99 Yrs From 17/07/2017","Uncompleted","New Sale","N.A","21","59","596159","Central Region","Bukit Timah","Singapore","Singapore"
